iState  State   lambda/nm    fe     S^2
1:    Singlet-A   386.34   0.0612   0.000
2:    Singlet-A   353.53   1.0775   0.000
3:    Singlet-A   325.70   0.0048   0.000
4:    Singlet-A   286.33   0.0017   0.000
5:    Singlet-A   285.26   0.0172   0.000
6:    Singlet-A   245.10   0.0000   0.000
7:    Singlet-A   243.82   0.4136   0.000
8:    Singlet-A   242.74   0.0035   0.000
9:    Singlet-A   236.75   0.0017   0.000
10:   Singlet-A   234.82   0.0238   0.000
11:   Singlet-A   234.18   0.0270   0.000
12:   Singlet-A   232.34   0.0013   0.000
13:   Singlet-A   220.15   0.0010   0.000
14:   Singlet-A   211.76   0.0039   0.000
15:   Singlet-A   210.84   0.0016   0.000
16:   Singlet-A   210.83   0.0066   0.000
17:   Singlet-A   207.10   0.1838   0.000
18:   Singlet-A   206.75   0.0072   0.000
19:   Singlet-A   204.86   0.0192   0.000
20:   Singlet-A   201.15   0.0103   0.000
21:   Singlet-A   200.64   0.0004   0.000
22:   Singlet-A   199.74   0.0218   0.000
23:   Singlet-A   198.80   0.0014   0.000
24:   Singlet-A   195.86   0.0066   0.000
25:   Singlet-A   193.25   0.2874   0.000
26:   Singlet-A   192.22   0.1159   0.000
27:   Singlet-A   191.57   0.0099   0.000
28:   Singlet-A   189.35   0.0106   0.000
29:   Singlet-A   188.89   0.0005   0.000
30:   Singlet-A   187.32   0.0001   0.000
