iState  State   lambda/nm    fe     S^2
1:    Singlet-A   388.06   0.0000   0.000
2:    Singlet-A   361.98   1.3062   0.000
3:    Singlet-A   323.18   0.0627   0.000
4:    Singlet-A   294.92   0.0177   0.000
5:    Singlet-A   294.75   0.0116   0.000
6:    Singlet-A   248.25   0.0608   0.000
7:    Singlet-A   243.63   0.2218   0.000
8:    Singlet-A   239.48   0.0000   0.000
9:    Singlet-A   233.38   0.0681   0.000
10:   Singlet-A   232.55   0.0001   0.000
11:   Singlet-A   225.72   0.0006   0.000
12:   Singlet-A   219.03   0.0506   0.000
13:   Singlet-A   209.92   0.1434   0.000
14:   Singlet-A   208.61   0.0713   0.000
15:   Singlet-A   206.59   0.0000   0.000
16:   Singlet-A   206.59   0.0000   0.000
17:   Singlet-A   204.97   0.0526   0.000
18:   Singlet-A   204.29   0.1156   0.000
19:   Singlet-A   199.84   0.0000   0.000
20:   Singlet-A   198.42   0.0731   0.000
21:   Singlet-A   196.70   0.0000   0.000
22:   Singlet-A   195.27   0.0000   0.000
23:   Singlet-A   193.45   0.0010   0.000
24:   Singlet-A   193.24   0.0600   0.000
25:   Singlet-A   187.73   0.3333   0.000
26:   Singlet-A   186.34   0.0000   0.000
27:   Singlet-A   183.96   0.0710   0.000
28:   Singlet-A   183.50   0.0000   0.000
29:   Singlet-A   182.34   0.0029   0.000
30:   Singlet-A   182.32   0.0078   0.000
